PERMNO,start,ending
23026.0,1957-07-10,2023-12-29
23077.0,1957-03-01,2013-06-06
23085.0,2009-01-02,2018-12-31
23114.0,1989-08-24,2012-06-29
23229.0,1999-05-03,2023-12-29
23393.0,2015-12-29,2023-12-29
23473.0,1997-12-18,2023-12-29
23501.0,2007-11-09,2016-03-29
23536.0,2008-10-31,2023-12-29
23569.0,2022-12-15,2022-12-16
23570.0,2023-01-04,2023-12-29
23579.0,1978-10-05,2023-12-29
23660.0,2001-03-01,2023-12-29
23712.0,1948-07-07,2023-12-29
23819.0,1957-03-01,2023-12-29
23876.0,2023-08-25,2023-12-29
23887.0,2001-02-27,2017-03-17
23931.0,1949-07-06,2023-12-29
23942.0,2023-07-03,2023-07-05
23944.0,2023-07-05,2023-07-05
23990.0,1982-09-16,2009-04-01
24010.0,1957-03-01,2023-12-29
24046.0,1997-09-02,2008-07-30
24053.0,2018-06-05,2023-12-29
24109.0,1951-09-06,2023-12-29
24174.0,2023-10-02,2023-12-29
24175.0,2023-10-02,2023-10-02
24205.0,1976-07-01,2023-12-29
24221.0,1957-03-01,2012-03-13
24272.0,1989-08-03,2008-11-13
24328.0,2008-12-19,2018-11-12
24328.0,2022-10-03,2023-12-29
24459.0,1957-03-01,2017-02-28
24643.0,1957-03-01,2023-12-29
24766.0,1985-06-13,2023-12-29
24942.0,1957-03-01,2020-04-03
24985.0,1991-09-20,2023-12-29
25013.0,1957-03-01,2009-11-03
25081.0,1995-12-01,2023-12-29
25099.0,2007-02-22,2015-06-30
25232.0,2010-03-15,2023-12-29
25320.0,1957-03-01,2023-12-29
25419.0,1959-04-01,2023-12-29
25582.0,2008-09-22,2023-12-29
25778.0,1987-07-09,2018-11-05
25785.0,1957-03-01,2023-12-29
25953.0,1985-10-24,2023-12-29
26382.0,2008-06-23,2011-06-01
26403.0,1976-07-01,2023-12-29
26710.0,1995-05-10,2023-12-29
26825.0,1961-04-26,2023-12-29
27043.0,2007-02-12,2021-04-19
27422.0,2009-12-21,2014-04-01
27633.0,1982-12-30,2017-06-16
27713.0,1974-10-17,2008-11-21
27756.0,2006-12-01,2010-06-30
27828.0,1974-10-17,2023-12-29
27887.0,1972-09-14,2023-12-29
27959.0,1976-07-01,2023-12-29
27983.0,1963-09-05,2021-03-19
27991.0,1999-10-04,2023-12-29
28222.0,1985-04-11,2023-12-29
28345.0,2005-08-15,2017-07-25
