GVKEY,TICKER,DATADATE,FYEAR,CSHTR_C,CSHTR_F,PRCH_C,PRCL_C,PRCC_C,MKVALT,est_avg_price,calendar_avg,fiscal_avg,COMPANYID,ENDDATE
007154,MCD,2002-12-31,2002.0,1533344900.0,1533344900.0,30.72,15.17,16.08,20392.656,20.656666666666663,6084701.984126984,6084701.984126984,139488,
007154,MCD,2003-12-31,2003.0,1699994218.0,1699994218.0,27.01,12.12,24.83,31332.977,21.32,6746008.801587301,6746008.801587301,139488,
007154,MCD,2004-12-31,2004.0,1136125100.0,1136125100.0,32.96,24.54,32.06,40712.994,29.85333333333333,4508432.936507937,4508432.936507937,139488,
007154,MCD,2005-12-31,2005.0,1574650600.0,1574650600.0,35.69,27.36,33.72,42595.104,32.25666666666667,6248613.492063492,6248613.492063492,139488,
007154,MCD,2006-12-31,2006.0,1826259700.0,1826259700.0,44.68,31.73,44.33,53360.021,40.24666666666666,7247062.301587301,7247062.301587301,139488,
007154,MCD,2007-12-31,2007.0,1920038258.0,1920038258.0,63.694,42.31,58.91,68647.823,54.97133333333333,7619199.436507937,7619199.436507937,139488,
007154,MCD,2008-12-31,2008.0,2550217385.0,2550217385.0,67.0,45.79,62.19,69360.507,58.32666666666666,10119910.257936507,10119910.257936507,139488,
007154,MCD,2009-12-31,2009.0,2403555093.0,2403555093.0,64.75,50.44,62.44,67229.148,59.21,9537917.035714284,9537917.035714284,139488,
007154,MCD,2010-12-31,2010.0,1677896891.0,1677896891.0,80.94,61.06,76.76,80874.336,72.92,6658320.996031746,6658320.996031746,139488,
007154,MCD,2011-12-31,2011.0,1700118393.0,1700118393.0,101.0,72.14,100.33,102477.062,91.15666666666664,6746501.55952381,6746501.55952381,139488,
007154,MCD,2012-12-31,2012.0,1484381386.0,1484381386.0,102.22,83.31,88.21,88448.167,91.24666666666668,5890402.325396826,5890402.325396826,139488,
007154,MCD,2013-12-31,2013.0,1243892492.0,1243892492.0,103.7,89.25,97.03,96098.512,96.66,4936081.317460317,4936081.317460317,139488,
007154,MCD,2014-12-31,2014.0,1378809876.0,1378809876.0,103.78,87.62,93.7,90223.73,95.03333333333336,5471467.761904762,5471467.761904762,139488,
007154,MCD,2015-12-31,2015.0,1632193486.0,1632193486.0,120.23,87.5,118.14,107129.352,108.62333333333332,6476958.277777778,6476958.277777778,139488,
007154,MCD,2016-12-31,2016.0,1385202953.0,1385202953.0,131.96,110.33,121.72,99725.196,121.33666666666666,5496837.115079365,5496837.115079365,139488,
007154,MCD,2017-12-31,2017.0,857203531.0,857203531.0,175.78,118.18,172.12,136680.492,155.36,3401601.3134920634,3401601.3134920634,139488,
007154,MCD,2018-12-31,2018.0,1013323240.0,1013323240.0,190.88,146.84,177.57,136213.947,171.76333333333332,4021123.968253968,4021123.968253968,139488,
007154,MCD,2019-12-31,2019.0,834192895.0,834192895.0,221.93,173.41,197.61,147476.343,197.65,3310289.265873016,3310289.265873016,139488,
007154,MCD,2020-12-31,2020.0,981447847.0,981447847.0,231.91,124.23,214.58,159947.932,190.24,3894634.313492064,3894634.313492064,139488,
007154,MCD,2021-12-31,2021.0,681388494.0,681388494.0,269.7198,202.73,268.07,199658.536,246.8399333333333,2703922.595238095,2703922.595238095,139488,
